av,title,time,region0,region,views,danmaku,replys,favorites,coins,shares,likes
40000,【MAD】Adamant Determination,2010-02-06 01:06:34,音乐,MAD·AMV,171186,5352,991,2506,290,44,259
140000,ひな汰，鳩子，おしり-な - LOL -lots of laugh-,2010-05-11 09:53:54,音乐,宅舞,2830,25,25,14,2,14,2
360000,【东方MMD】古明地姐妹的Sweetiex2,2010-08-01 14:25:59,生活,MMD·3D,2062,64,3,34,1,3,1
380000,【东方手书】PV月光花,2010-08-07 17:49:27,生活,短片·手书·配音,801,96,7,14,3,5,5
400000,【電波MAD】 LOVE/si ki yo 【電波女与青春男】,2010-08-13 08:09:54,音乐,MAD·AMV,11592,238,142,130,20,8,12
420000,【K/脑残玩坏向】到底有多少打开K的方式,2010-08-18 16:27:07,生活,MAD·AMV,4903,205,4,23,1,6,1
560000,柯南君热舞Sister's Noise,2010-09-27 18:17:07,生活,MAD·AMV,7197,118,6,107,15,38,12
660000,【满满的3分钟人生】延时摄影 冰岛Hit2！美到爆！,2010-10-25 10:59:35,动画,趣味科普人文,38663,606,52,1712,285,156,22
740000,I wanna revive the world[日本大会],2010-11-15 21:37:47,动画,单机游戏,883,244,5,7,6,12,1
760000,【JOJO MMD】欧拉父女的Tetro超心跳sizers二号,2010-11-21 00:35:54,生活,MMD·3D,2168,120,4,112,16,9,10
800000,芜湖小司马鳄鱼上单 狐狸中单第一视角,2010-11-30 17:49:00,动画,电子竞技,8282,143,104,28,11,5,10
820000,《想你》张国荣 1989告别乐坛演唱会经典现场,2010-12-06 00:25:22,音乐,音乐现场,50372,1688,146,2129,273,972,373
920000,【KOFXIII】MUN#16 - 淘汰赛精选对战合辑,2010-12-30 10:37:38,动画,网络游戏,679,3,1,1,0,4,0
1100000,【A君】【东方金属风】Prank Gone Wrong,2011-02-01 13:20:31,音乐,演奏,8935,55,56,65,30,15,21
1420000,【枢木緋色】言语之业【さりと】,2011-03-16 13:02:52,动画,翻唱,577,12,3,17,1,5,0
1460000,MC 玩坏风景作大死,2011-03-23 08:46:43,鬼畜,单机游戏,13970,1214,75,127,118,19,5
1560000,【无脑实况】《Minecraft》无脑的不杀生极限生存 P8 探矿洞！,2011-04-05 17:28:03,游戏,单机游戏,406,116,0,0,0,3,0
1580000,【FAIRIES】100分钟画出神北小毯 Little Busters！,2011-04-08 13:02:56,游戏,野生技术协会,602,10,2,6,0,2,1
1660000,【风暴英雄】过客解说-精灵龙光明之翼，能加能打能逃命的小母龙,2011-04-18 16:13:28,音乐,电子竞技,896,1,1,0,0,4,0
1680000,【音乐大师】本作系列第二弹！！！,2011-04-21 12:16:41,音乐,单机游戏,95,0,2,0,1,2,0
1720000,【回忆向】据说还能说出集数的人1000人里只有1个,2011-04-26 14:28:00,游戏,综合,1693,64,17,10,7,3,0
1840000,华晨宇与《一年级》陈思成李昊煜萌唱《童年》,2011-05-12 22:37:59,动画,综艺,6714,95,7,117,8,24,16
1960000,I wanna conquer the blow game 2 初见实况解说,2011-06-01 13:43:15,游戏,单机游戏,942,7,5,1,7,4,4
2060000,【Goose House】直到再会的那一天 (Cover),2011-06-13 01:47:13,音乐,翻唱,1570,23,4,39,5,6,0
2160000,【sai】安定小天使是在是太可爱了^q^（新人初投）,2011-06-26 21:52:19,舞蹈,野生技术协会,9200,50,62,75,28,2,102
2240000,【游戏王ADS】ComboMaster SP04,2011-07-06 04:54:03,动画,桌游棋牌,2394,52,35,43,5,4,0
2300000,当美队2遇上了Audiomachine,2011-07-13 17:52:53,游戏,影视剪辑,637,4,5,6,0,4,0
2340000,【hummerkey】黎明與螢光,2011-07-19 03:16:06,生活,翻唱,411,2,16,21,3,3,1
